,Y,X,alpha,beta,t-stat,p-value,r-sq,ADF p-value,Coint Strength,Coint Strength p-value,Coint Strength Rsq
1429,ABT,FAST,-0.4015360764885174,1.9110589767328867,173.04343027528725,0.0,0.9225177062910812,0.0148645526734167,-0.005858750869425845,0.00501436899552202,0.19177850984093825
1432,ABT,FDS,-0.1628673964896881,1.13903221282498,209.12611891436904,0.0,0.9456201326269984,0.0118830457196531,-0.00878335321341591,0.0003190639035767851,0.2254551153553197
1448,ABT,FTS,-3.052029292369593,4.63289424480021,147.7787158631901,0.0,0.8967296300743108,0.0025324280124597,-0.0035763151149290195,0.05735893192476307,0.12699640908405474
1453,ABT,GGG,0.1864507263398188,1.0962757482474073,207.32959441673472,0.0,0.9447259558970926,0.0420172968134616,-0.0022593660666052513,0.003410214680871246,0.1920646515079345
1463,ABT,GRMN,0.3232914531950177,1.045377974392632,187.7353224785383,0.0,0.9333943356580002,0.0405806339095489,-0.0048613949325981495,0.03369148063104553,0.16609699454776516
1466,ABT,GWW,-1.3307664399739458,2.4000962605237364,123.3760241957668,0.0,0.8582031588002288,0.0188034395283427,-0.002530020464783987,0.11457135061649501,0.12783992004511735
1483,ABT,HSY,-1.3100338043782878,1.869694237380913,152.8795643221297,0.0,0.9028475937627536,0.0250426399402816,-0.0038654012563172804,0.04525136875923727,0.1338449626812459
1485,ABT,HUBB,-1.506318148203204,2.0367970023551245,129.2961787879889,0.0,0.8692317817139426,0.0125789790550617,-0.0022610378414819115,0.17386472853993704,0.1355169738349551
1488,ABT,IBN,-0.6471702881471393,1.573904461989759,100.80530446438532,0.0,0.8016046657674735,0.0297172035100625,-0.00018300353459987278,0.8955506447506931,0.07887277229256706
1510,ABT,J,-0.4608559421363617,1.838946952201016,139.81822775848983,0.0,0.8860141223173368,0.0227169287733345,-0.002254450012096518,0.20939268076087258,0.12090564125184122
1511,ABT,JBHT,-0.9608454538738732,1.5398415851228366,124.3252133370662,0.0,0.8600582143351753,0.0307034834312501,-0.003608860614773661,0.02732893739462295,0.10359044146135965
1527,ABT,KMX,-0.6160317517423686,1.4304067633295492,137.31189221641534,0.0,0.8823092052018923,0.0027779782819369,-0.0024754104667137444,0.17447655116811567,0.06724942862867733
1528,ABT,KO,-3.367832632851868,3.939169948126001,133.35824843159182,0.0,0.8761048493214977,0.0112759785000709,-0.0011895835053903911,0.4771860948871808,0.17171518780730233
1535,ABT,LEN,-0.6234964557618309,1.166175352702957,105.04054427237904,0.0,0.8143708129403149,0.0239583441060994,-0.001713951438690396,0.2345688878151733,0.07690009857170399
1539,ABT,LIN,-0.4945181027047609,1.8334738776553103,244.59198881936905,0.0,0.959656877165148,0.0004683985755859,-0.011065826681393071,0.00010456027360644349,0.21578375365360314
1547,ABT,LPLA,-0.2520523848903863,1.014214560846219,142.1523844351148,0.0,0.889315784244502,0.0201216919183094,-3.722926812725115e-05,0.9768287986183097,0.08140384049194549
1560,ABT,MCD,-0.5176779220027957,1.7420156112357208,163.63772995404975,0.0,0.9141412785000392,0.0490886267628654,-0.0038725402973329723,0.05618874621268729,0.15497743923772678
1597,ABT,NDSN,0.3561017100068767,1.024232937122406,172.07146905377985,0.0,0.9217086270929288,0.0077771376845188,-0.002551308125987466,0.002728046609249222,0.16637181904435816
1609,ABT,NSC,-0.0009609322065017,1.1906859058741834,235.41332192947937,0.0,0.9565888555903828,0.0001316680750644,-0.01027657807637139,0.00036637694768472764,0.13802091461793464
1625,ABT,ORCL,-1.0446193539614603,1.8336643270506023,137.31063719238193,0.0,0.88230730700083,0.0117519838073063,-0.004113836238326302,0.019645367372599185,0.12411639956619314
1636,ABT,PCAR,-1.6336221590657696,2.083787352201759,135.8966239817578,0.0,0.8801404519977121,0.0206694241474926,-0.0036654829539334776,0.03613997315660022,0.12405549153086992
1642,ABT,PG,-1.380653432114463,2.3320920826250715,194.58950860366235,0.0,0.937716809980181,0.0145186685347849,-0.006073218897626308,0.007680943406939461,0.22622765895803665
1644,ABT,PH,-0.2341423395409646,1.2672840686467113,137.64301573203963,0.0,0.8828084943662184,0.0285436951851171,-0.002462072356664266,0.1656806890908242,0.11570063639736361
1664,ABT,RBA,-0.2582565962773779,1.600293307974031,149.93187580634512,0.0,0.8993781343969265,0.0117051426461478,-0.004118039665619945,0.03725408861695981,0.061062856313293445
